19:38:34.265 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/download],methods=[GET]}" onto public org.springframework.http.ResponseEntity<byte[]> com.simple2secure.portal.controller.DownloadController.downloadProbe(java.lang.String) throws java.io.IOException,java.net.URISyntaxException
19:38:34.266 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/email],methods=[POST]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.EmailConfiguration> com.simple2secure.portal.controller.EmailController.saveEmailConfiguration(com.simple2secure.api.model.EmailConfiguration,java.lang.String)
19:38:34.267 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/email/inbox/{email_config_id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Email>> com.simple2secure.portal.controller.EmailController.getEmailMessagesByUserID(java.lang.String,java.lang.String)
19:38:34.267 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/email/{user_id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.EmailConfiguration>> com.simple2secure.portal.controller.EmailController.getEmailConfigByUserID(java.lang.String,java.lang.String)
19:38:34.267 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/email/{config_id}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.EmailConfiguration> com.simple2secure.portal.controller.EmailController.deleteConfig(java.lang.String,java.lang.String)
19:38:34.268 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/license/activateProbe],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.String> com.simple2secure.portal.controller.LicenseController.activateLicense(com.simple2secure.api.model.CompanyLicenseObj,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.268 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/license/{licenseId}/{groupId}/{probeId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.lang.Boolean> com.simple2secure.portal.controller.LicenseController.checkLicense(java.lang.String,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
19:38:34.268 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/license/{groupId}/{userId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<byte[]> com.simple2secure.portal.controller.LicenseController.getLicense(java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
19:38:34.268 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/license/token],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.CompanyLicenseObj> com.simple2secure.portal.controller.LicenseController.checkAccessToken(com.simple2secure.api.model.CompanyLicenseObj,java.lang.String) throws java.lang.Exception
19:38:34.268 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/notification/{user_id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Notification>> com.simple2secure.portal.controller.NotificationController.getNoficitaionByUserID(java.lang.String,java.lang.String)
19:38:34.269 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/notification],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Notification> com.simple2secure.portal.controller.NotificationController.saveNotification(com.simple2secure.api.model.Notification,java.lang.String)
19:38:34.269 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/processors/update/group],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Probe> com.simple2secure.portal.controller.ProcessorController.applyGroupStepsAndProcessors(com.simple2secure.api.model.Probe,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.269 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/processors/{probeId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Processor>> com.simple2secure.portal.controller.ProcessorController.getProcessorsByProbeId(java.lang.String,java.lang.String)
19:38:34.269 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/processors/group/{groupId}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.List<com.simple2secure.api.model.Processor>> com.simple2secure.portal.controller.ProcessorController.getProcessorsByGroupId(java.lang.String,java.lang.String)
19:38:34.270 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/processors],methods=[POST],consumes=[application/json]}" onto public org.springframework.http.ResponseEntity<com.simple2secure.api.model.Processor> com.simple2secure.portal.controller.ProcessorController.saveOrUpdateProcessor(com.simple2secure.api.model.Processor,java.lang.String) throws com.simple2secure.portal.dao.exceptions.ItemNotFoundRepositoryException
19:38:34.270 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/processors/{processorId}],methods=[DELETE]}" onto public org.springframework.http.ResponseEntity<?> com.simple2secure.portal.controller.ProcessorController.deleteProcessor(java.lang.String,java.lang.String)
